地点,日期,小时,温度(℃),风向,风力(级),降水量(mm),相对湿度(%),空气质量指数
怀柔,20260626,00:00,19.9,西北风,1,0,81,
怀柔,20260626,01:00,19.1,西风,1,0,81,
怀柔,20260626,02:00,18.4,西风,1,0,84,
怀柔,20260626,03:00,17.9,,0,0,87,
怀柔,20260626,04:00,17.3,东风,1,0,90,
怀柔,20260626,05:00,17.3,西北风,1,0,90,
怀柔,20260626,06:00,18.8,西风,1,0,84,
怀柔,20260626,07:00,21.7,,0,0,67,
怀柔,20260626,08:00,23.2,东北风,1,0,62,
怀柔,20260626,09:00,25.8,南风,2,0,57,
怀柔,20260626,10:00,28.2,东风,1,0,48,
怀柔,20260626,11:00,27.9,东北风,3,0,36,
怀柔,20260626,12:00,28.7,东北风,2,0,32,
怀柔,20260626,13:00,29.6,东风,2,0,35,
怀柔,20260626,14:00,30.3,东风,2,0,33,
怀柔,20260626,15:00,30.9,东北风,2,0,30,
怀柔,20260626,16:00,32,东风,2,0,29,
怀柔,20260626,17:00,32.3,西南风,2,0,30,
怀柔,20260626,18:00,31.1,西南风,2,0,32,
怀柔,20260626,19:00,30.7,西北风,1,0,37,
怀柔,20260626,20:00,25.6,西北风,2,0,52,
怀柔,20260626,21:00,23.1,西北风,1,0,66,
怀柔,20260626,22:00,21.8,南风,1,0,67,
怀柔,20260626,23:00,20.7,东风,1,0,76,
