地点,日期,小时,温度(℃),风向,风力(级),降水量(mm),相对湿度(%),空气质量指数
怀柔,20260913,00:00,16.6,西北风,1,0,86,
怀柔,20260913,01:00,15.9,西风,1,0,89,
怀柔,20260913,02:00,15.2,,0,0,91,
怀柔,20260913,03:00,14.8,东北风,1,0,92,
怀柔,20260913,04:00,14.5,西北风,2,0,96,
怀柔,20260913,05:00,14.2,北风,1,0,95,
怀柔,20260913,06:00,13.9,西风,1,0,96,
怀柔,20260913,07:00,15.2,西风,1,0,93,
怀柔,20260913,08:00,21.1,东北风,1,0,60,
怀柔,20260913,09:00,23.9,东北风,2,0,44,
怀柔,20260913,10:00,25.6,东北风,2,0,29,
怀柔,20260913,11:00,24.2,东南风,2,0,54,
怀柔,20260913,12:00,25.6,东风,1,0,52,
怀柔,20260913,13:00,26,南风,1,0,49,
怀柔,20260913,14:00,26.8,西南风,2,0,46,
怀柔,20260913,15:00,27.7,南风,2,0,37,
怀柔,20260913,16:00,27.1,东南风,3,0,36,
怀柔,20260913,17:00,26.3,东南风,3,0,36,
怀柔,20260913,18:00,25,东风,1,0,43,
怀柔,20260913,19:00,21.4,北风,1,0,67,
怀柔,20260913,20:00,20.5,西北风,1,0,70,
怀柔,20260913,21:00,19.1,西风,2,0,73,
怀柔,20260913,22:00,18.1,西北风,1,0,77,
怀柔,20260913,23:00,17.2,西风,1,0,81,
