地点,日期,小时,温度(℃),风向,风力(级),降水量(mm),相对湿度(%),空气质量指数
怀柔,20260603,00:00,24.5,东南风,1,0,57,
怀柔,20260603,01:00,23.4,南风,1,0,65,
怀柔,20260603,02:00,23.1,北风,1,0,65,
怀柔,20260603,03:00,24.7,东北风,2,0,62,
怀柔,20260603,04:00,24.9,东南风,2,0,61,
怀柔,20260603,05:00,22.1,西风,2,0,73,
怀柔,20260603,06:00,22.5,东风,1,0,76,
怀柔,20260603,07:00,23.6,西风,1,0,68,
怀柔,20260603,08:00,24.8,东南风,1,0,61,
怀柔,20260603,09:00,25.6,东北风,2,0,58,
怀柔,20260603,10:00,26.9,东风,2,0,49,
怀柔,20260603,11:00,28.2,东风,2,0,46,
怀柔,20260603,12:00,31.2,东南风,2,0,46,
怀柔,20260603,13:00,32,南风,1,0,46,
怀柔,20260603,14:00,32.7,西南风,2,0,44,
怀柔,20260603,15:00,32.9,东南风,2,0,44,
怀柔,20260603,16:00,32.8,东南风,3,0,48,
怀柔,20260603,17:00,31.9,东南风,2,0,49,
怀柔,20260603,18:00,30.8,东南风,2,0,52,
怀柔,20260603,19:00,29.9,西南风,2,0,55,
怀柔,20260603,20:00,29.3,西风,2,0,55,
怀柔,20260603,21:00,26.9,南风,3,0,50,
怀柔,20260603,22:00,25.9,东北风,1,0,50,
怀柔,20260603,23:00,25.5,西北风,2,0,54,
